"大分類カテゴリーコード","大分類カテゴリー","中分類カテゴリーコード","中分類カテゴリー","小分類カテゴリーコード","小分類カテゴリー"
"100000001","レディース服","200000001","スーツ・ドレス・フォーマル","300000001","パーティードレス"
"100000001","レディース服","200000001","スーツ・ドレス・フォーマル","300000005","その他スーツ・ドレス"
"100000001","レディース服","200000002","ワンピース","300000006","シフォン・レースワンピ"
"100000017","家具・インテリア","200000493","インテリア・装飾","300002943","壁時計"
"100000017","家具・インテリア","200000493","インテリア・装飾","300002944","置き時計"
"100000009","車・バイク用品","200000078","電子系カー用品","300002945","レーダー探知機"
"100000017","家具・インテリア","200000603","テレビ台・事務用家具","300002946","テレビ台"
"120000002","寝具・ベッド・マットレス","200000131","布団","300002947","こたつ布団"
"100000049","下着・ソックス","200000505","パジャマ・ルームウェア","300000033","パジャマ"
"100000001","レディース服","200000009","パンツ・レギンス","300000034","ロングパンツ"
"100000001","レディース服","200000010","デニム・ジーンズ","300000035","ブーツカットジーンズ"
"100000001","レディース服","200000010","デニム・ジーンズ","300000036","ショートパンツ"
"100000001","レディース服","200000010","デニム・ジーンズ","300000037","ストレートジーンズ"
"100000001","レディース服","200000010","デニム・ジーンズ","300000038","スキニージーンズ"
"100000001","レディース服","200000010","デニム・ジーンズ","300000039","クロップドジーンズ"
"100000001","レディース服","200000011","スカート","300000040","ミニスカート"
"100000002","メンズファッション","200000023","パンツ・ジーンズ","300000063","クロップドパンツ"
"100000002","メンズファッション","200000023","パンツ・ジーンズ","300000064","その他"
"100000002","メンズファッション","200000025","インナー・靴下","300000066","ボクサーパンツ"
"100000004","腕時計・ジュエリー","200000036","ピアス・イヤリング","300000095","プラチナ"
"100000004","腕時計・ジュエリー","200000037","ネックレス","300000096","プラチナ"
"100000004","腕時計・ジュエリー","200000038","ブレスレット・アンクレット","300000097","プラチナ"
"100000043","ファッション雑貨","200000050","ストール・マフラー","300000123","スカーフ"
"100000043","ファッション雑貨","200000051","ベルト","300000124","レディースベルト"
"100000043","ファッション雑貨","200000052","ヘアアクセサリー","300000125","ヘアピン"
"100000043","ファッション雑貨","200000052","ヘアアクセサリー","300000126","カチューシャ・ヘアバンド"
"100000043","ファッション雑貨","200000052","ヘアアクセサリー","300000127","その他ヘアアクセサリー"
"100000043","ファッション雑貨","200000053","眼鏡・サングラス","300000128","サングラス"
"100000043","ファッション雑貨","200000053","眼鏡・サングラス","300000129","眼鏡"
"100000043","ファッション雑貨","200000053","眼鏡・サングラス","300000130","その他眼鏡"
"100000006","コスメティック","200000054","スキンケア","300000131","クレンジング・洗顔"
"100000006","コスメティック","200000054","スキンケア","300000132","アイクリーム・ジェル"
"100000006","コスメティック","200000054","スキンケア","300000133","アイマスク"
"100000006","コスメティック","200000054","スキンケア","300000134","マスクパック・ピーリング"
"100000006","コスメティック","200000054","スキンケア","300000135","化粧水・ローション"
"100000006","コスメティック","200000054","スキンケア","300000136","乳液"
"100000006","コスメティック","200000054","スキンケア","300000137","美容液"
"100000006","コスメティック","200000054","スキンケア","300000139","モイスチャー・クリーム"
"100000006","コスメティック","200000054","スキンケア","300000140","セラム・エッセンス"
"100000006","コスメティック","200000054","スキンケア","300000141","その他"
"100000006","コスメティック","200000055","基礎化粧品","300000142","ファンデーション"
"100000006","コスメティック","200000055","基礎化粧品","300000143","BBクリーム"
"100000006","コスメティック","200000055","基礎化粧品","300000144","化粧下地"
"100000006","コスメティック","200000055","基礎化粧品","300000145","その他"
"100000006","コスメティック","200000056","メイクアップ","300000146","パウダー・パクト"
"100000006","コスメティック","200000056","メイクアップ","300000147","アイシャドウ"
"100000006","コスメティック","200000056","メイクアップ","300000148","アイライナー"
"100000006","コスメティック","200000056","メイクアップ","300000149","マスカラ"
"100000006","コスメティック","200000056","メイクアップ","300000150","口紅"
"100000006","コスメティック","200000056","メイクアップ","300000151","リップグロス"
"100000006","コスメティック","200000056","メイクアップ","300000152","リップバーム"
